"AOA","CM"
"-10.300000","-0.046900"
"-10.200000","-0.047300"
"-10.100000","-0.047700"
"-10.000000","-0.048000"
"-9.900000","-0.048200"
"-9.800000","-0.048400"
"-9.700000","-0.048500"
"-9.600000","-0.048500"
"-9.500000","-0.048600"
"-9.400000","-0.048600"
"-9.300000","-0.048600"
"-9.200000","-0.048600"
"-9.100000","-0.048700"
"-9.000000","-0.048700"
"-8.900000","-0.048700"
"-8.800000","-0.048700"
"-8.700000","-0.048700"
"-8.600000","-0.048700"
"-8.500000","-0.048700"
"-8.400000","-0.048600"
"-8.300000","-0.048300"
"-8.200000","-0.048400"
"-8.100000","-0.048500"
"-8.000000","-0.048600"
"-7.800000","-0.048800"
"-7.700000","-0.048900"
"-7.600000","-0.049000"
"-7.500000","-0.049100"
"-7.400000","-0.049200"
"-7.300000","-0.049300"
"-7.200000","-0.049300"
"-7.100000","-0.049400"
"-7.000000","-0.049500"
"-6.900000","-0.049500"
"-6.700000","-0.049400"
"-6.600000","-0.051800"
"-6.500000","-0.051500"
"-6.400000","-0.051200"
"-6.300000","-0.051000"
"-6.200000","-0.050800"
"-6.100000","-0.050200"
"-6.000000","-0.049800"
"-5.900000","-0.049700"
"-4.100000","-0.048600"
"-4.000000","-0.048600"
"-3.900000","-0.048700"
"-3.800000","-0.048700"
"-3.600000","-0.047400"
"-3.500000","-0.047400"
"-3.400000","-0.047500"
"-3.300000","-0.047500"
"-3.100000","-0.047600"
"-2.800000","-0.047800"
"-2.500000","-0.047900"
"-2.400000","-0.048000"
"-2.300000","-0.048100"
"-2.200000","-0.048100"
"-2.100000","-0.048200"
"-1.400000","-0.048700"
"-1.300000","-0.048700"
"-1.200000","-0.048800"
"-1.100000","-0.048900"
"-1.000000","-0.048900"
"-0.900000","-0.049000"
"-0.800000","-0.049100"
"-0.700000","-0.049100"
"-0.600000","-0.049200"
"-0.500000","-0.049300"
"-0.400000","-0.049400"
"-0.300000","-0.049400"
"-0.200000","-0.049500"
"-0.100000","-0.049600"
"0.000000","-0.049600"
"0.100000","-0.049700"
"0.200000","-0.049800"
"0.300000","-0.049800"
"0.400000","-0.049900"
"0.500000","-0.050000"
"0.600000","-0.050000"
"0.700000","-0.050100"
"0.800000","-0.050200"
"0.900000","-0.050200"
"1.000000","-0.050300"
"1.100000","-0.050400"
"1.200000","-0.050400"
"1.300000","-0.050500"
"1.400000","-0.050500"
"1.500000","-0.050600"
"1.600000","-0.050700"
"1.700000","-0.050700"
"1.800000","-0.050800"
"1.900000","-0.050800"
"2.000000","-0.050900"
"2.100000","-0.051000"
"2.200000","-0.051000"
"2.300000","-0.051100"
"2.400000","-0.051100"
"2.500000","-0.051200"
"2.600000","-0.051200"
"2.700000","-0.051300"
"2.800000","-0.051300"
"2.900000","-0.051400"
"3.000000","-0.051400"
"3.100000","-0.051500"
"3.200000","-0.051500"
"3.300000","-0.051600"
"3.400000","-0.051600"
"3.500000","-0.051600"
"3.600000","-0.051700"
"3.800000","-0.051700"
"3.900000","-0.051700"
"4.000000","-0.051800"
"4.100000","-0.051800"
"4.200000","-0.051800"
"4.300000","-0.051900"
"4.400000","-0.051900"
"4.500000","-0.051900"
"4.600000","-0.052000"
"4.700000","-0.052000"
"4.800000","-0.052000"
"4.900000","-0.052000"
"5.000000","-0.052000"
"5.100000","-0.052000"
"5.200000","-0.052000"
"5.300000","-0.052000"
"5.400000","-0.052000"
"5.500000","-0.051900"
"5.600000","-0.051800"
"5.700000","-0.051300"
"5.800000","-0.050700"
"5.900000","-0.051500"
"6.000000","-0.052700"
"6.100000","-0.053200"
"6.200000","-0.053600"
"6.300000","-0.054000"
"6.400000","-0.054300"
"6.500000","-0.054700"
"6.600000","-0.054900"
"6.700000","-0.055200"
"6.800000","-0.055400"
"6.900000","-0.055700"
"7.000000","-0.055400"
"7.100000","-0.055000"
"7.200000","-0.054600"
"7.300000","-0.054300"
