"AOA","CL"
"-10.800000","-0.944200"
"-10.700000","-0.932400"
"-10.600000","-0.920500"
"-10.500000","-0.908400"
"-10.400000","-0.895600"
"-10.300000","-0.883300"
"-10.200000","-0.871000"
"-10.100000","-0.858800"
"-10.000000","-0.846900"
"-9.900000","-0.835200"
"-9.800000","-0.823800"
"-9.700000","-0.812800"
"-9.600000","-0.802100"
"-9.500000","-0.791500"
"-9.400000","-0.780800"
"-9.300000","-0.770000"
"-9.200000","-0.759300"
"-9.100000","-0.748600"
"-9.000000","-0.737800"
"-8.900000","-0.727000"
"-8.800000","-0.716300"
"-8.700000","-0.705500"
"-8.600000","-0.694800"
"-8.500000","-0.684200"
"-8.400000","-0.673700"
"-8.300000","-0.665500"
"-8.200000","-0.654600"
"-8.100000","-0.643500"
"-8.000000","-0.632400"
"-7.800000","-0.610100"
"-7.700000","-0.598900"
"-7.600000","-0.587800"
"-7.500000","-0.576600"
"-7.400000","-0.565400"
"-7.300000","-0.554300"
"-7.200000","-0.543100"
"-7.100000","-0.532000"
"-7.000000","-0.521200"
"-6.900000","-0.510400"
"-6.700000","-0.489100"
"-6.600000","-0.467800"
"-6.500000","-0.458500"
"-6.400000","-0.449100"
"-6.300000","-0.439600"
"-6.200000","-0.429800"
"-6.100000","-0.421400"
"-6.000000","-0.412800"
"-5.900000","-0.402600"
"-4.100000","-0.214100"
"-4.000000","-0.203000"
"-3.900000","-0.191800"
"-3.800000","-0.180500"
"-3.600000","-0.167400"
"-3.500000","-0.156400"
"-3.400000","-0.145400"
"-3.300000","-0.134500"
"-3.100000","-0.112400"
"-2.800000","-0.079000"
"-2.500000","-0.046000"
"-2.400000","-0.034800"
"-2.300000","-0.023700"
"-2.200000","-0.012600"
"-2.100000","-0.001400"
"-1.400000","0.076600"
"-1.300000","0.087700"
"-1.200000","0.098800"
"-1.100000","0.110000"
"-1.000000","0.121100"
"-0.900000","0.132200"
"-0.800000","0.143400"
"-0.700000","0.154500"
"-0.600000","0.165600"
"-0.500000","0.176800"
"-0.400000","0.187900"
"-0.300000","0.199000"
"-0.200000","0.210100"
"-0.100000","0.221300"
"0.000000","0.232400"
"0.100000","0.243500"
"0.200000","0.254600"
"0.300000","0.265800"
"0.400000","0.276900"
"0.500000","0.288000"
"0.600000","0.299100"
"0.700000","0.310300"
"0.800000","0.321400"
"0.900000","0.332500"
"1.000000","0.343600"
"1.100000","0.354700"
"1.200000","0.365800"
"1.300000","0.376900"
"1.400000","0.388000"
"1.500000","0.399100"
"1.600000","0.410100"
"1.700000","0.421200"
"1.800000","0.432300"
"1.900000","0.443400"
"2.000000","0.454500"
"2.100000","0.465500"
"2.200000","0.476600"
"2.300000","0.487600"
"2.400000","0.498700"
"2.500000","0.509800"
"2.600000","0.520800"
"2.700000","0.531800"
"2.800000","0.542700"
"2.900000","0.553800"
"3.000000","0.564800"
"3.100000","0.575800"
"3.200000","0.586800"
"3.300000","0.597800"
"3.400000","0.608800"
"3.500000","0.619700"
"3.600000","0.630700"
"3.800000","0.652000"
"3.900000","0.662800"
"4.000000","0.673600"
"4.100000","0.684300"
"4.200000","0.694900"
"4.300000","0.705900"
"4.400000","0.716800"
"4.500000","0.727700"
"4.600000","0.738400"
"4.700000","0.749000"
"4.800000","0.759900"
"4.900000","0.770100"
"5.000000","0.780900"
"5.100000","0.791400"
"5.200000","0.801800"
"5.300000","0.812700"
"5.400000","0.823300"
"5.500000","0.833300"
"5.600000","0.843400"
"5.700000","0.851900"
"5.800000","0.860300"
"5.900000","0.874800"
"6.000000","0.890900"
"6.100000","0.904000"
"6.200000","0.916300"
"6.300000","0.928700"
"6.400000","0.941100"
"6.500000","0.953300"
"6.600000","0.965300"
"6.700000","0.977100"
"6.800000","0.989000"
"6.900000","1.000900"
"7.000000","1.010200"
"7.100000","1.019200"
"7.200000","1.028200"
"7.300000","1.037400"
"7.400000","1.046700"
"7.500000","1.056300"
"7.600000","1.066100"
"7.700000","1.076100"
"7.800000","1.086100"
"7.900000","1.096300"
"8.000000","1.051800"
"8.100000","1.116700"
"8.300000","1.131500"
"8.400000","1.141400"
"8.500000","1.151300"
"8.600000","1.161400"
"8.700000","1.171400"
"8.800000","1.181500"
"8.900000","1.191500"
"9.000000","1.201500"
"9.100000","1.211600"
"9.200000","1.221600"
"9.300000","1.231600"
"9.400000","1.241600"
"9.500000","1.251500"
"9.600000","1.261400"
"9.700000","1.271400"
"9.800000","1.281200"
"9.900000","1.291100"
"10.000000","1.300900"
"10.100000","1.310700"
"10.200000","1.320500"
"10.300000","1.330200"
"10.400000","1.339900"
"10.500000","1.349500"
"10.600000","1.360600"
"10.700000","1.370400"
"10.800000","1.380100"
"10.900000","1.389600"
"11.000000","1.399100"
"11.100000","1.408500"
"11.200000","1.417900"
"11.300000","1.427200"
"11.400000","1.436400"
"11.500000","1.445600"
"11.600000","1.454700"
"11.700000","1.463800"
"11.800000","1.472800"
"11.900000","1.481700"
"12.000000","1.490500"
"12.100000","1.499200"
"12.200000","1.507900"
"12.300000","1.516500"
"12.400000","1.524900"
"12.500000","1.533300"
"12.600000","1.541500"
"12.700000","1.549700"
"12.800000","1.557700"
"12.900000","1.565600"
"13.000000","1.573300"
"13.100000","1.580800"
"13.200000","1.587500"
"13.300000","1.593600"
"13.400000","1.599500"
"13.500000","1.605500"
"13.600000","1.611600"
"13.700000","1.617700"
"13.800000","1.623800"
"13.900000","1.629700"
"14.000000","1.635600"
