"AOA","CD"
"0.500000","0.004510"
"0.600000","0.004530"
"0.700000","0.004570"
"0.800000","0.004550"
"0.900000","0.004580"
"1.000000","0.004590"
"1.100000","0.004620"
"1.200000","0.004710"
"1.300000","0.004710"
"1.400000","0.004760"
"1.500000","0.004770"
"1.600000","0.004810"
"1.700000","0.004850"
"1.800000","0.004850"
"1.900000","0.004890"
"2.000000","0.004940"
"2.100000","0.004940"
"2.200000","0.004990"
"2.300000","0.005050"
"2.400000","0.005070"
"2.500000","0.005140"
"2.700000","0.005300"
"2.800000","0.005340"
"2.900000","0.005430"
"3.000000","0.005450"
"3.100000","0.005510"
"3.200000","0.005580"
"3.300000","0.005610"
"3.400000","0.005680"
"3.500000","0.005760"
"3.600000","0.005800"
"3.700000","0.005850"
"3.800000","0.005910"
"3.900000","0.005980"
"4.000000","0.006030"
"4.100000","0.006070"
"4.200000","0.006140"
"4.300000","0.006210"
"4.400000","0.006290"
"4.500000","0.006330"
"4.600000","0.006390"
"4.700000","0.006480"
"4.800000","0.006570"
"4.900000","0.006640"
"5.000000","0.006710"
"5.100000","0.006760"
"5.200000","0.006810"
"5.300000","0.006870"
"5.400000","0.006940"
"5.500000","0.007030"
"5.600000","0.007150"
"5.700000","0.007270"
"5.800000","0.007330"
"6.000000","0.007450"
"6.100000","0.007520"
"6.200000","0.007580"
"6.300000","0.007640"
"6.400000","0.007720"
"6.500000","0.007790"
"6.600000","0.007880"
"6.700000","0.007970"
"7.000000","0.012395"
"8.000000","0.012456"
"9.000000","0.012530"
"10.000000","0.012632"
"11.000000","0.012789"
"12.000000","0.013042"
"13.000000","0.013453"
"14.000000","0.014105"
"15.000000","0.015109"
"16.000000","0.016604"
"17.000000","0.018758"
"18.000000","0.021769"
"19.000000","0.025854"
"20.000000","0.031249"
"21.000000","0.038196"
"22.000000","0.046928"
"23.000000","0.057658"
"24.000000","0.070564"
"25.000000","0.085779"
"26.000000","0.103381"
"27.000000","0.123388"
"28.000000","0.145762"
"29.000000","0.170408"
"30.000000","0.197186"
"31.000000","0.225923"
"32.000000","0.256419"
"33.000000","0.288460"
"34.000000","0.321831"
"35.000000","0.356320"
"36.000000","0.391726"
"37.000000","0.427862"
"38.000000","0.464558"
"39.000000","0.501663"
"40.000000","0.539042"
"41.000000","0.576578"
"42.000000","0.614168"
"43.000000","0.651724"
"44.000000","0.689169"
"45.000000","0.726436"
"46.000000","0.763467"
"47.000000","0.800212"
"48.000000","0.836625"
"49.000000","0.872666"
"50.000000","0.908298"
"51.000000","0.943489"
"52.000000","0.978207"
"53.000000","1.012422"
"54.000000","1.046107"
"55.000000","1.079235"
"56.000000","1.111782"
"57.000000","1.143721"
"58.000000","1.175028"
"59.000000","1.205680"
"60.000000","1.235653"
"61.000000","1.264924"
"62.000000","1.293470"
"63.000000","1.321269"
"64.000000","1.348298"
"65.000000","1.374537"
"66.000000","1.399963"
"67.000000","1.424556"
"68.000000","1.448296"
"69.000000","1.471164"
"70.000000","1.493139"
"71.000000","1.514203"
"72.000000","1.534340"
"73.000000","1.553530"
"74.000000","1.571759"
"75.000000","1.589011"
"76.000000","1.605270"
"77.000000","1.620523"
"78.000000","1.634757"
"79.000000","1.647960"
"80.000000","1.660121"
"81.000000","1.671229"
"82.000000","1.681276"
"83.000000","1.690254"
"84.000000","1.698156"
"85.000000","1.704975"
"86.000000","1.710708"
"87.000000","1.715351"
"88.000000","1.718902"
"89.000000","1.721358"
"90.000000","1.722721"
"91.000000","1.722991"
"92.000000","1.722170"
"93.000000","1.720263"
"94.000000","1.717273"
"95.000000","1.713207"
"96.000000","1.708072"
"97.000000","1.701876"
"98.000000","1.694629"
"99.000000","1.686341"
"100.000000","1.677024"
"101.000000","1.666692"
"102.000000","1.655358"
"103.000000","1.643039"
"104.000000","1.629749"
"105.000000","1.615507"
"106.000000","1.600332"
"107.000000","1.584244"
"108.000000","1.567263"
"109.000000","1.549410"
"110.000000","1.530710"
"111.000000","1.511185"
"112.000000","1.490861"
"113.000000","1.469764"
"114.000000","1.447919"
"115.000000","1.425354"
"116.000000","1.402099"
"117.000000","1.378181"
"118.000000","1.353631"
"119.000000","1.328480"
"120.000000","1.302759"
"121.000000","1.276499"
"122.000000","1.249734"
"123.000000","1.222497"
"124.000000","1.194821"
"125.000000","1.166741"
"126.000000","1.138292"
"127.000000","1.109508"
"128.000000","1.080426"
"129.000000","1.051081"
"130.000000","1.021509"
"131.000000","0.991748"
"132.000000","0.961833"
"133.000000","0.931801"
"134.000000","0.901690"
"135.000000","0.871537"
"136.000000","0.841378"
"137.000000","0.811250"
"138.000000","0.781192"
"139.000000","0.751239"
"140.000000","0.721428"
"141.000000","0.691797"
"142.000000","0.662381"
"143.000000","0.633216"
"144.000000","0.604339"
"145.000000","0.575785"
"146.000000","0.547588"
"147.000000","0.519783"
"148.000000","0.492406"
"149.000000","0.465488"
"150.000000","0.439062"
"151.000000","0.413163"
"152.000000","0.387820"
"153.000000","0.363066"
"154.000000","0.338930"
"155.000000","0.315442"
"156.000000","0.292630"
"157.000000","0.270524"
"158.000000","0.249149"
"159.000000","0.228532"
"160.000000","0.208699"
"161.000000","0.189672"
"162.000000","0.171477"
"163.000000","0.154135"
"164.000000","0.137666"
"165.000000","0.122093"
"166.000000","0.107433"
"167.000000","0.093704"
"168.000000","0.080923"
"169.000000","0.069107"
"170.000000","0.058269"
"171.000000","0.048422"
"172.000000","0.039579"
"173.000000","0.031751"
"174.000000","0.024947"
"175.000000","0.019176"
"176.000000","0.014444"
"177.000000","0.010757"
"178.000000","0.008121"
"179.000000","0.006537"
"180.000000","0.006000"
