"AOA","CL"
"-0.600000","-0.066100"
"-0.500000","-0.055100"
"-0.400000","-0.044300"
"-0.300000","-0.033200"
"-0.200000","-0.022000"
"-0.100000","-0.011100"
"0.000000","0.000000"
"0.100000","0.011100"
"0.200000","0.022000"
"0.300000","0.033200"
"0.400000","0.044300"
"0.500000","0.055000"
"0.600000","0.066200"
"0.700000","0.077000"
"0.800000","0.088100"
"0.900000","0.099300"
"1.000000","0.110000"
"1.100000","0.121000"
"1.200000","0.131900"
"1.300000","0.142800"
"1.400000","0.153700"
"1.500000","0.164800"
"1.600000","0.175600"
"1.700000","0.186500"
"1.800000","0.197600"
"1.900000","0.208500"
"2.000000","0.219500"
"2.100000","0.230300"
"2.200000","0.241300"
"2.300000","0.252300"
"2.400000","0.263300"
"2.500000","0.273900"
"2.700000","0.295300"
"2.800000","0.306100"
"2.900000","0.316800"
"3.000000","0.327300"
"3.100000","0.338100"
"3.200000","0.348500"
"3.300000","0.359300"
"3.400000","0.370200"
"3.500000","0.380700"
"3.600000","0.391300"
"3.700000","0.402000"
"3.800000","0.412700"
"3.900000","0.422800"
"4.000000","0.433500"
"4.100000","0.444300"
"4.200000","0.454800"
"4.300000","0.465400"
"4.400000","0.476000"
"4.500000","0.487500"
"4.600000","0.499100"
"4.700000","0.510300"
"4.800000","0.521700"
"4.900000","0.534400"
"5.000000","0.546800"
"5.100000","0.559000"
"5.200000","0.571100"
"5.300000","0.582900"
"5.400000","0.595800"
"5.500000","0.608700"
"5.600000","0.621500"
"5.700000","0.634300"
"5.800000","0.647400"
"6.000000","0.673300"
"6.100000","0.686000"
"6.200000","0.698700"
"6.300000","0.711300"
"6.400000","0.724200"
"6.500000","0.737000"
"6.600000","0.749900"
"6.700000","0.762800"
"7.000000","0.796900"
"8.000000","0.910619"
"9.000000","1.024111"
"10.000000","1.137162"
"11.000000","1.249463"
"12.000000","1.360585"
"13.000000","1.469976"
"14.000000","1.576944"
"15.000000","1.680663"
"16.000000","1.780181"
"17.000000","1.874438"
"18.000000","1.962304"
"19.000000","2.042624"
"20.000000","2.114282"
"21.000000","2.176265"
"22.000000","2.227732"
"23.000000","2.268081"
"24.000000","2.296999"
"25.000000","2.314487"
"26.000000","2.320871"
"27.000000","2.316777"
"28.000000","2.303087"
"29.000000","2.280881"
"30.000000","2.251367"
"31.000000","2.215806"
"32.000000","2.175455"
"33.000000","2.131506"
"34.000000","2.085050"
"35.000000","2.037049"
"36.000000","1.988325"
"37.000000","1.939555"
"38.000000","1.891281"
"39.000000","1.843914"
"40.000000","1.797757"
"41.000000","1.753013"
"42.000000","1.709806"
"43.000000","1.668195"
"44.000000","1.628187"
"45.000000","1.589746"
"46.000000","1.552810"
"47.000000","1.517292"
"48.000000","1.483092"
"49.000000","1.450102"
"50.000000","1.418206"
"51.000000","1.387289"
"52.000000","1.357236"
"53.000000","1.327935"
"54.000000","1.299281"
"55.000000","1.271169"
"56.000000","1.243505"
"57.000000","1.216197"
"58.000000","1.189164"
"59.000000","1.162328"
"60.000000","1.135617"
"61.000000","1.108969"
"62.000000","1.082325"
"63.000000","1.055631"
"64.000000","1.028842"
"65.000000","1.001915"
"66.000000","0.974814"
"67.000000","0.947506"
"68.000000","0.919965"
"69.000000","0.892167"
"70.000000","0.864092"
"71.000000","0.835725"
"72.000000","0.807054"
"73.000000","0.778071"
"74.000000","0.748770"
"75.000000","0.719148"
"76.000000","0.689206"
"77.000000","0.658947"
"78.000000","0.628375"
"79.000000","0.597500"
"80.000000","0.566330"
"81.000000","0.534878"
"82.000000","0.503158"
"83.000000","0.471186"
"84.000000","0.438980"
"85.000000","0.406559"
"86.000000","0.373943"
"87.000000","0.341156"
"88.000000","0.308221"
"89.000000","0.275162"
"90.000000","0.242007"
"91.000000","0.208782"
"92.000000","0.175517"
"93.000000","0.142239"
"94.000000","0.108981"
"95.000000","0.075772"
"96.000000","0.042644"
"97.000000","0.009630"
"98.000000","-0.023236"
"99.000000","-0.055923"
"100.000000","-0.088394"
"101.000000","-0.120617"
"102.000000","-0.152556"
"103.000000","-0.184177"
"104.000000","-0.283359"
"105.000000","-0.312369"
"106.000000","-0.341021"
"107.000000","-0.369277"
"108.000000","-0.397099"
"109.000000","-0.424450"
"110.000000","-0.451293"
"111.000000","-0.477590"
"112.000000","-0.503306"
"113.000000","-0.528404"
"114.000000","-0.552849"
"115.000000","-0.576608"
"116.000000","-0.599645"
"117.000000","-0.621929"
"118.000000","-0.643427"
"119.000000","-0.664108"
"120.000000","-0.683942"
"121.000000","-0.702898"
"122.000000","-0.720950"
"123.000000","-0.738069"
"124.000000","-0.754230"
"125.000000","-0.769409"
"126.000000","-0.783581"
"127.000000","-0.796724"
"128.000000","-0.808818"
"129.000000","-0.819844"
"130.000000","-0.829783"
"131.000000","-0.838619"
"132.000000","-0.846338"
"133.000000","-0.852925"
"134.000000","-0.858370"
"135.000000","-0.862662"
"136.000000","-0.865794"
"137.000000","-0.867760"
"138.000000","-0.868554"
"139.000000","-0.868175"
"140.000000","-0.866622"
"141.000000","-0.863898"
"142.000000","-0.860005"
"143.000000","-0.854950"
"144.000000","-0.848742"
"145.000000","-0.841394"
"146.000000","-0.832918"
"147.000000","-0.823334"
"148.000000","-0.812662"
"149.000000","-0.800930"
"150.000000","-0.788169"
"151.000000","-0.774417"
"152.000000","-0.759720"
"153.000000","-0.744135"
"154.000000","-0.727733"
"155.000000","-0.710604"
"156.000000","-0.692865"
"157.000000","-0.674670"
"158.000000","-0.656231"
"159.000000","-0.637840"
"160.000000","-0.619920"
"161.000000","-0.603092"
"162.000000","-0.588294"
"163.000000","-0.576973"
"164.000000","-0.571387"
"165.000000","-0.575019"
"166.000000","-0.592910"
"167.000000","-0.630950"
"168.000000","-0.691312"
"169.000000","-0.760951"
"170.000000","-0.804316"
"171.000000","-0.789799"
"172.000000","-0.724636"
"173.000000","-0.637479"
"174.000000","-0.546470"
"175.000000","-0.455391"
"176.000000","-0.364313"
"177.000000","-0.273235"
"178.000000","-0.182157"
"179.000000","-0.091078"
"180.000000","-0.000000"
