"AOA","CM"
"114.000000","-0.465393"
"115.000000","-0.464287"
"116.000000","-0.463045"
"117.000000","-0.461665"
"118.000000","-0.460146"
"119.000000","-0.458488"
"120.000000","-0.456688"
"121.000000","-0.454746"
"122.000000","-0.452660"
"123.000000","-0.450427"
"124.000000","-0.448046"
"125.000000","-0.445515"
"126.000000","-0.442831"
"127.000000","-0.439991"
"128.000000","-0.436993"
"129.000000","-0.433834"
"130.000000","-0.430511"
"131.000000","-0.427021"
"132.000000","-0.423361"
"133.000000","-0.419526"
"134.000000","-0.415515"
"135.000000","-0.411323"
"136.000000","-0.406948"
"137.000000","-0.402386"
"138.000000","-0.397633"
"139.000000","-0.392687"
"140.000000","-0.387546"
"141.000000","-0.382205"
"142.000000","-0.376663"
"143.000000","-0.370918"
"144.000000","-0.364967"
"145.000000","-0.358810"
"146.000000","-0.352447"
"147.000000","-0.345877"
"148.000000","-0.339102"
"149.000000","-0.332125"
"150.000000","-0.324950"
"151.000000","-0.317584"
"152.000000","-0.310035"
"153.000000","-0.302319"
"154.000000","-0.294452"
"155.000000","-0.286463"
"156.000000","-0.278389"
"157.000000","-0.270284"
"158.000000","-0.262224"
"159.000000","-0.254326"
"160.000000","-0.246761"
"161.000000","-0.239793"
"162.000000","-0.233837"
"163.000000","-0.229550"
"164.000000","-0.227990"
"165.000000","-0.230814"
"166.000000","-0.240412"
"167.000000","-0.259340"
"168.000000","-0.287444"
"169.000000","-0.316081"
"170.000000","-0.328439"
"171.000000","-0.316031"
"172.000000","-0.287093"
"173.000000","-0.252806"
"174.000000","-0.217736"
"175.000000","-0.182298"
"176.000000","-0.146504"
"177.000000","-0.110365"
"178.000000","-0.073892"
"179.000000","-0.037097"
"180.000000","0.000011"
