"AOA","CM"
"-180.000000","0.000011"
"-179.000000","0.037119"
"-178.000000","0.073914"
"-177.000000","0.110387"
"-176.000000","0.146526"
"-175.000000","0.182319"
"-174.000000","0.217757"
"-173.000000","0.252827"
"-172.000000","0.287125"
"-171.000000","0.316093"
"-170.000000","0.328460"
"-169.000000","0.315912"
"-168.000000","0.287065"
"-167.000000","0.258886"
"-166.000000","0.239997"
"-165.000000","0.230480"
"-164.000000","0.227737"
"-163.000000","0.229367"
"-162.000000","0.233708"
"-161.000000","0.239707"
"-160.000000","0.246709"
"-159.000000","0.254301"
"-158.000000","0.262223"
"-157.000000","0.270302"
"-156.000000","0.278425"
"-155.000000","0.286516"
"-154.000000","0.294520"
"-153.000000","0.302401"
"-152.000000","0.310132"
"-151.000000","0.317695"
"-150.000000","0.325077"
"-149.000000","0.332268"
"-148.000000","0.339261"
"-147.000000","0.346052"
"-146.000000","0.352640"
"-145.000000","0.359022"
"-144.000000","0.365198"
"-143.000000","0.371169"
"-142.000000","0.376935"
"-141.000000","0.382500"
"-140.000000","0.387865"
"-139.000000","0.393032"
"-138.000000","0.398005"
"-137.000000","0.402785"
"-136.000000","0.407377"
"-135.000000","0.411784"
"-134.000000","0.416009"
"-133.000000","0.420055"
"-132.000000","0.423925"
"-131.000000","0.427624"
"-130.000000","0.431155"
"-129.000000","0.434520"
"-128.000000","0.437723"
"-127.000000","0.440767"
"-126.000000","0.443655"
"-125.000000","0.446390"
"-124.000000","0.448974"
"-123.000000","0.451410"
"-122.000000","0.453700"
"-121.000000","0.455846"
"-120.000000","0.457851"
"-119.000000","0.459715"
"-118.000000","0.461441"
"-117.000000","0.463030"
"-116.000000","0.464483"
"-115.000000","0.465801"
"-114.000000","0.466984"
"-113.000000","0.468034"
"-112.000000","0.468950"
"-111.000000","0.469733"
"-110.000000","0.470382"
"-109.000000","0.470899"
"-108.000000","0.471281"
"-107.000000","0.471529"
"-106.000000","0.471643"
"-105.000000","0.471621"
"-104.000000","0.471463"
"-103.000000","0.471147"
"-102.000000","0.470716"
"-101.000000","0.470145"
"-100.000000","0.469434"
"-99.000000","0.468582"
"-98.000000","0.467587"
"-97.000000","0.466449"
"-96.000000","0.465166"
"-95.000000","0.463738"
"-94.000000","0.462164"
"-93.000000","0.460441"
"-92.000000","0.458571"
"-91.000000","0.456552"
"-90.000000","0.454384"
"-89.000000","0.452065"
"-88.000000","0.449597"
"-87.000000","0.446978"
"-86.000000","0.444208"
"-85.000000","0.441289"
"-84.000000","0.438219"
"-83.000000","0.435001"
"-82.000000","0.431634"
"-81.000000","0.428120"
"-80.000000","0.424459"
"-79.000000","0.420654"
"-78.000000","0.416706"
"-77.000000","0.412616"
"-76.000000","0.408388"
"-75.000000","0.404023"
"-74.000000","0.399524"
"-73.000000","0.394893"
"-72.000000","0.390135"
"-71.000000","0.385251"
"-70.000000","0.380246"
"-69.000000","0.375123"
"-68.000000","0.369886"
"-67.000000","0.364540"
"-66.000000","0.359088"
"-65.000000","0.353535"
"-64.000000","0.347885"
"-63.000000","0.342144"
"-62.000000","0.336316"
"-61.000000","0.330407"
"-60.000000","0.324421"
"-59.000000","0.318364"
"-58.000000","0.312242"
"-57.000000","0.306059"
"-56.000000","0.299821"
"-55.000000","0.293534"
"-54.000000","0.287204"
"-53.000000","0.280835"
"-52.000000","0.274435"
"-51.000000","0.268008"
"-50.000000","0.261561"
"-49.000000","0.255098"
"-48.000000","0.248626"
"-47.000000","0.242150"
"-46.000000","0.235675"
"-45.000000","0.229208"
"-44.000000","0.222753"
"-43.000000","0.216315"
"-42.000000","0.209901"
"-41.000000","0.203515"
"-40.000000","0.197162"
"-39.000000","0.190848"
"-38.000000","0.184577"
"-37.000000","0.178353"
"-36.000000","0.172183"
"-35.000000","0.170400"
"-34.000000","0.164454"
"-33.000000","0.158508"
"-32.000000","0.152563"
"-31.000000","0.146617"
"-30.000000","0.140672"
"-29.000000","0.134726"
"-28.000000","0.128781"
"-27.000000","0.122835"
"-26.000000","0.116890"
"-25.000000","0.110944"
"-24.000000","0.104999"
"-23.000000","0.099053"
"-22.000000","0.093107"
"-21.000000","0.087162"
"-20.299999","0.083000"
"-18.700001","0.071900"
"-8.000000","-0.000900"
"-6.900000","0.003600"
"-6.700000","0.003300"
"-6.500000","0.002500"
"-6.400000","0.002100"
"-6.300000","0.001800"
"-6.200000","0.001400"
"-6.100000","0.001000"
"-6.000000","0.000600"
"-5.900000","0.000200"
"-5.800000","-0.000200"
"-5.700000","-0.000700"
"-5.600000","-0.001100"
"-5.500000","-0.001400"
"-5.400000","-0.001700"
"-5.300000","-0.001800"
"-5.200000","-0.002000"
"-5.100000","-0.002300"
"-5.000000","-0.002600"
"-4.900000","-0.002900"
"-4.800000","-0.002800"
"-4.700000","-0.002900"
"-4.600000","-0.002900"
"-4.500000","-0.002800"
"-4.400000","-0.002700"
"-4.300000","-0.002600"
"-4.200000","-0.002400"
"-4.100000","-0.002300"
"-4.000000","-0.002000"
"-3.900000","-0.001900"
"-3.800000","-0.001800"
"-3.700000","-0.001700"
"-3.600000","-0.001500"
"-3.500000","-0.001400"
"-3.400000","-0.001300"
"-3.300000","-0.001200"
"-3.200000","-0.001100"
"-3.100000","-0.001000"
"-3.000000","-0.000900"
"-2.900000","-0.000800"
"-2.800000","-0.000700"
"-2.700000","-0.000600"
"-2.600000","-0.000600"
"-2.500000","-0.000500"
"-2.400000","-0.000500"
"-2.300000","-0.000400"
"-2.200000","-0.000400"
"-2.100000","-0.000400"
"-2.000000","-0.000300"
"-1.900000","-0.000300"
"-1.800000","-0.000300"
"-1.700000","-0.000200"
"-1.600000","-0.000200"
"-1.500000","-0.000200"
"-1.400000","-0.000100"
"-1.300000","-0.000100"
"-1.200000","-0.000100"
"-1.100000","-0.000100"
"-1.000000","-0.000100"
"-0.900000","-0.000100"
"-0.800000","0.000000"
"-0.700000","0.000000"
"-0.600000","-0.000100"
"-0.500000","0.000000"
"-0.400000","0.000000"
"-0.300000","0.000000"
"-0.200000","0.000000"
"-0.100000","0.000000"
"0.000000","0.000000"
"0.100000","0.000000"
"0.200000","0.000000"
"0.300000","0.000000"
"0.400000","0.000000"
"0.500000","0.000000"
"0.600000","0.000100"
"0.700000","0.000000"
"0.800000","0.000000"
"0.900000","0.000100"
"1.000000","0.000100"
"1.100000","0.000100"
"1.200000","0.000100"
"1.300000","0.000100"
"1.400000","0.000100"
"1.500000","0.000200"
"1.600000","0.000200"
"1.700000","0.000200"
"1.800000","0.000300"
"1.900000","0.000300"
"2.000000","0.000300"
"2.100000","0.000400"
"2.200000","0.000400"
"2.300000","0.000400"
"2.400000","0.000500"
"2.500000","0.000500"
"2.600000","0.000600"
"2.700000","0.000600"
"2.800000","0.000700"
"2.900000","0.000800"
"3.000000","0.000900"
"3.100000","0.001000"
"3.200000","0.001100"
"3.300000","0.001200"
"3.400000","0.001400"
"3.500000","0.001500"
"3.600000","0.001500"
"3.700000","0.001700"
"3.800000","0.001800"
"3.900000","0.001900"
"4.000000","0.002100"
"4.100000","0.002300"
"4.200000","0.002400"
"4.300000","0.002600"
"4.400000","0.002700"
"4.500000","0.002800"
"4.600000","0.002900"
"4.700000","0.002900"
"4.800000","0.002800"
"4.900000","0.002900"
"5.000000","0.002600"
"5.100000","0.002300"
"5.200000","0.002000"
"5.300000","0.001800"
"5.400000","0.001700"
"5.500000","0.001400"
"5.600000","0.001000"
"5.700000","0.000700"
"5.800000","0.000200"
"6.000000","-0.000600"
"6.100000","-0.001000"
"6.200000","-0.001400"
"6.300000","-0.001800"
"6.400000","-0.002100"
"6.500000","-0.002500"
"7.900000","0.000200"
"8.000000","-0.001401"
"9.000000","-0.017410"
"10.000000","-0.033418"
"11.000000","-0.049427"
"12.000000","-0.065435"
"13.000000","-0.081444"
"14.000000","-0.097453"
"15.000000","-0.113461"
"16.000000","-0.129470"
"17.000000","-0.145479"
"18.000000","-0.161487"
"19.000000","-0.177496"
"20.000000","-0.193505"
"21.000000","-0.209513"
"22.000000","-0.225522"
"23.000000","-0.242839"
"24.000000","-0.245133"
"25.000000","-0.246916"
"26.000000","-0.248290"
"27.000000","-0.249357"
"28.000000","-0.250208"
"29.000000","-0.250927"
"30.000000","-0.251590"
"31.000000","-0.252259"
"32.000000","-0.252991"
"33.000000","-0.253828"
"34.000000","-0.254807"
"35.000000","-0.255955"
"36.000000","-0.257293"
"37.000000","-0.258835"
"38.000000","-0.260590"
"39.000000","-0.262561"
"40.000000","-0.264751"
"41.000000","-0.267157"
"42.000000","-0.269772"
"43.000000","-0.272592"
"44.000000","-0.275608"
"45.000000","-0.278809"
"46.000000","-0.282185"
"47.000000","-0.285725"
"48.000000","-0.289418"
"49.000000","-0.293251"
"50.000000","-0.297213"
"51.000000","-0.301291"
"52.000000","-0.305474"
"53.000000","-0.309749"
"54.000000","-0.314104"
"55.000000","-0.318529"
"56.000000","-0.323011"
"57.000000","-0.327540"
"58.000000","-0.332104"
"59.000000","-0.336694"
"60.000000","-0.341298"
"61.000000","-0.345908"
"62.000000","-0.350514"
"63.000000","-0.355107"
"64.000000","-0.359677"
"65.000000","-0.364216"
"66.000000","-0.368717"
"67.000000","-0.373171"
"68.000000","-0.377571"
"69.000000","-0.381910"
"70.000000","-0.386181"
"71.000000","-0.390377"
"72.000000","-0.394494"
"73.000000","-0.398525"
"74.000000","-0.402464"
"75.000000","-0.406307"
"76.000000","-0.410049"
"77.000000","-0.413686"
"78.000000","-0.417214"
"79.000000","-0.420629"
"80.000000","-0.423928"
"81.000000","-0.427107"
"82.000000","-0.430165"
"83.000000","-0.433098"
"84.000000","-0.435905"
"85.000000","-0.438583"
"86.000000","-0.441132"
"87.000000","-0.443549"
"88.000000","-0.445834"
"89.000000","-0.447985"
"90.000000","-0.450003"
"91.000000","-0.451886"
"92.000000","-0.453635"
"93.000000","-0.455249"
"94.000000","-0.456728"
"95.000000","-0.458073"
"96.000000","-0.459283"
"97.000000","-0.460360"
"98.000000","-0.461304"
"99.000000","-0.462114"
"100.000000","-0.462793"
"101.000000","-0.463341"
"102.000000","-0.463757"
"103.000000","-0.464044"
"104.000000","-0.468928"
"105.000000","-0.469194"
"106.000000","-0.469321"
"107.000000","-0.469309"
"108.000000","-0.469159"
"109.000000","-0.468873"
"110.000000","-0.468449"
"111.000000","-0.467889"
"112.000000","-0.467193"
"113.000000","-0.466361"
