"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,           0,      -1.904757544,      0.3141684434,      0.5867595649,       3.560016119,      -6.056157785,       456.6694993,     0.03945897972,      -0.306692477,                 0,                 0,                 0,     -0.1470196772,     0.04480549169,     -0.3059571121,                 0,      -7.772438091,     0.05817988052
          0,           0,           1,      -3.009079992,     -0.6697656253,      0.1682387633,       2.449355087,      -5.878383342,       456.6694993,     0.03976151516,     -0.2952688173,                 0,                 0,                 0,     -0.1426158073,     0.04490861069,     -0.2945299123,                 0,      -7.425995115,     0.05817988052
          0,           0,           2,      -3.606808318,     -0.7999241492,    -0.01637787076,       1.873098121,      -6.041178705,       456.6694993,     0.04000121948,     -0.3002302097,                 0,                 0,                 0,     -0.1461489217,     0.04523486675,     -0.2994863657,                 0,      -7.505526422,     0.05817988052
          0,           0,           3,      -3.511308187,     -0.9716144351,     -0.2412162407,       1.956504564,      -6.303109546,       456.6694993,     0.03998758084,     -0.3060695462,                 0,                 0,                 0,     -0.1497718097,     0.04532314065,     -0.3053250508,                 0,      -7.654115098,     0.05817988052
          0,           0,           4,      -3.620459885,      -1.057630047,     -0.4698415223,       1.842807229,      -6.410844545,       456.6694993,     0.03993829672,     -0.3043650718,                 0,                 0,                 0,     -0.1497899013,     0.04524411686,     -0.3036216961,                 0,      -7.620882632,     0.05818309468
          0,           0,           5,      -3.831403616,      -1.097297055,      -0.669374932,        1.62908236,      -6.400374199,       456.6694993,     0.03993363897,     -0.2967454674,                 0,                 0,                 0,      -0.147265725,     0.04510647939,     -0.2960033336,                 0,      -7.430964847,     0.06203354061
          0,           0,           6,      -3.991165939,       -1.11039994,     -0.8137593099,       1.469647851,      -6.397425553,       456.6694993,     0.03990805315,     -0.2873204357,                 0,                 0,                 0,     -0.1442304756,     0.04491640798,     -0.2865801839,                 0,      -7.199560316,     0.06203354061
          0,           0,           7,      -4.146264321,      -1.119956802,     -0.8888752007,       1.321809068,      -6.407459469,       456.6694993,     0.03984105034,     -0.2776616603,                 0,                 0,                 0,     -0.1414248808,      0.0446808465,     -0.2769240489,                 0,      -6.969235447,     0.06203354061
          0,           0,           8,      -4.193461003,      -1.122548755,      -0.926351432,       1.278864628,      -6.416597539,       456.6694993,     0.03972217317,     -0.2679820808,                 0,                 0,                 0,     -0.1388661654,     0.04439305548,     -0.2672480183,                 0,      -6.746410364,     0.06203354061
          0,           0,           9,      -4.292012931,      -1.131462811,     -0.9522082232,       1.198505374,      -6.417134497,       456.6694993,     0.03950113095,     -0.2586144297,                 0,                 0,                 0,     -0.1365335026,     0.04400855888,     -0.2578856517,                 0,        -6.5470133,     0.06203354061
          0,           0,          10,      -4.294248551,      -1.144609409,     -0.9860216339,       1.204611333,      -6.414201874,       456.6694993,     0.03921612083,     -0.2508540034,                 0,                 0,                 0,     -0.1349060477,     0.04358815405,     -0.2501313814,                 0,      -6.396706202,     0.06248075562
          0,           0,          11,      -4.228422409,      -1.160453125,      -1.025726686,       1.258753461,      -6.413269683,       456.6694993,     0.03887005089,     -0.2451979237,                 0,                 0,                 0,     -0.1339399742,     0.04314342461,     -0.2444822029,                 0,      -6.308145168,     0.06446734039
          0,           0,          12,      -4.213207318,      -1.185335067,      -1.067944555,       1.270708819,      -6.413475412,       456.6694993,     0.03848177857,     -0.2413795341,                 0,                 0,                 0,     -0.1335263497,     0.04268857134,     -0.2406711712,                 0,      -6.272566993,     0.06446734039
