AoA,CL
123.0,-0.822191
124.0,-0.834465
125.0,-0.845723
126.0,-0.855951
127.0,-0.865135
128.0,-0.873266
129.0,-0.880333
130.0,-0.886327
131.0,-0.891241
132.0,-0.89507
133.0,-0.897808
134.0,-0.899452
135.0,-0.9
136.0,-0.899452
137.0,-0.897808
138.0,-0.89507
139.0,-0.891241
140.0,-0.886327
141.0,-0.880333
142.0,-0.873266
143.0,-0.865135
144.0,-0.855951
145.0,-0.845723
146.0,-0.834465
147.0,-0.822191
148.0,-0.808915
149.0,-0.794653
150.0,-0.779423
151.0,-0.763243
152.0,-0.746134
153.0,-0.728115
154.0,-0.70921
155.0,-0.68944
156.0,-0.66883
157.0,-0.647406
158.0,-0.625193
159.0,-0.602218
160.0,-0.578509
161.0,-0.554095
162.0,-0.529007
163.0,-0.503274
164.0,-0.476927
165.0,-0.45
166.0,-0.422524
167.0,-0.394534
168.0,-0.366063
169.0,-0.337146
170.0,-0.307818
171.0,-0.278115
172.0,-0.248074
173.0,-0.21773
174.0,-0.187121
175.0,-0.156283
176.0,-0.125256
177.0,-0.094076
178.0,-0.062781
179.0,-0.03141
180.0,0.0
