"AOA","CD"
"1.600000","0.004850"
"1.700000","0.004840"
"1.800000","0.004880"
"1.900000","0.004930"
"2.000000","0.004910"
"2.100000","0.004970"
"2.200000","0.005010"
"2.300000","0.005020"
"2.400000","0.005080"
"2.500000","0.005140"
"2.600000","0.005150"
"2.700000","0.005270"
"2.800000","0.005360"
"2.900000","0.005390"
"3.000000","0.005440"
"3.100000","0.005500"
"3.200000","0.005530"
"3.300000","0.005580"
"3.400000","0.005650"
"3.500000","0.005690"
"3.600000","0.005750"
"3.700000","0.005800"
"3.800000","0.005860"
"3.900000","0.005910"
"4.000000","0.005940"
"4.100000","0.006000"
"4.200000","0.006070"
"4.300000","0.006140"
"4.400000","0.006190"
"4.500000","0.006230"
"4.600000","0.006300"
"4.700000","0.006390"
"4.800000","0.006470"
"4.900000","0.006530"
"5.000000","0.006580"
"5.100000","0.006630"
"5.200000","0.006690"
"5.300000","0.006750"
"5.400000","0.006820"
"5.500000","0.006920"
"5.600000","0.007020"
"5.700000","0.007120"
"5.800000","0.007190"
"6.000000","0.007310"
"6.100000","0.007370"
"6.200000","0.007430"
"6.300000","0.007500"
"6.400000","0.007570"
"6.500000","0.007650"
"7.900000","0.010330"
"8.000000","0.013543"
"9.000000","0.014402"
"10.000000","0.015656"
"11.000000","0.017427"
"12.000000","0.019851"
"13.000000","0.023079"
"14.000000","0.027266"
"15.000000","0.032568"
"16.000000","0.039134"
"17.000000","0.047101"
"18.000000","0.056586"
"19.000000","0.067682"
"20.000000","0.080451"
"21.000000","0.094930"
"22.000000","0.111122"
"23.000000","0.129006"
"24.000000","0.148534"
"25.000000","0.169639"
"26.000000","0.192237"
"27.000000","0.216234"
"28.000000","0.241527"
"29.000000","0.268009"
"30.000000","0.295571"
"31.000000","0.324109"
"32.000000","0.353519"
"33.000000","0.383703"
"34.000000","0.414567"
"35.000000","0.446024"
"36.000000","0.477991"
"37.000000","0.510392"
"38.000000","0.543155"
"39.000000","0.576214"
"40.000000","0.609505"
"41.000000","0.642972"
"42.000000","0.676558"
"43.000000","0.710212"
"44.000000","0.743886"
"45.000000","0.777531"
"46.000000","0.811105"
"47.000000","0.844564"
"48.000000","0.877866"
"49.000000","0.910973"
"50.000000","0.943845"
"51.000000","0.976445"
"52.000000","1.008736"
"53.000000","1.040684"
"54.000000","1.072252"
"55.000000","1.103407"
"56.000000","1.134116"
"57.000000","1.164345"
"58.000000","1.194062"
"59.000000","1.223238"
"60.000000","1.251839"
"61.000000","1.279838"
"62.000000","1.307203"
"63.000000","1.333907"
"64.000000","1.359922"
"65.000000","1.385220"
"66.000000","1.409776"
"67.000000","1.433562"
"68.000000","1.456556"
"69.000000","1.478732"
"70.000000","1.500067"
"71.000000","1.520540"
"72.000000","1.540128"
"73.000000","1.558813"
"74.000000","1.576573"
"75.000000","1.593392"
"76.000000","1.609252"
"77.000000","1.624135"
"78.000000","1.638029"
"79.000000","1.650917"
"80.000000","1.662787"
"81.000000","1.673628"
"82.000000","1.683429"
"83.000000","1.692180"
"84.000000","1.699873"
"85.000000","1.706500"
"86.000000","1.712057"
"87.000000","1.716537"
"88.000000","1.719939"
"89.000000","1.722259"
"90.000000","1.723497"
"91.000000","1.723653"
"92.000000","1.722728"
"93.000000","1.720725"
"94.000000","1.717649"
"95.000000","1.713505"
"96.000000","1.708298"
"97.000000","1.702038"
"98.000000","1.694732"
"99.000000","1.686392"
"100.000000","1.677028"
"101.000000","1.666654"
"102.000000","1.655282"
"103.000000","1.642929"
"104.000000","1.629610"
"105.000000","1.615343"
"106.000000","1.600145"
"107.000000","1.584037"
"108.000000","1.567039"
"109.000000","1.549172"
"110.000000","1.530460"
"111.000000","1.510926"
"112.000000","1.490594"
"113.000000","1.469490"
"114.000000","1.447641"
"115.000000","1.425074"
"116.000000","1.401817"
"117.000000","1.377899"
"118.000000","1.353350"
"119.000000","1.328201"
"120.000000","1.302482"
"121.000000","1.276226"
"122.000000","1.249465"
"123.000000","1.222233"
"124.000000","1.194563"
"125.000000","1.166489"
"126.000000","1.138046"
"127.000000","1.109269"
"128.000000","1.080194"
"129.000000","1.050856"
"130.000000","1.021292"
"131.000000","0.991538"
"132.000000","0.961630"
"133.000000","0.931607"
"134.000000","0.901503"
"135.000000","0.871358"
"136.000000","0.841206"
"137.000000","0.811087"
"138.000000","0.781036"
"139.000000","0.751091"
"140.000000","0.721288"
"141.000000","0.691664"
"142.000000","0.662255"
"143.000000","0.633097"
"144.000000","0.604227"
"145.000000","0.575679"
"146.000000","0.547489"
"147.000000","0.519691"
"148.000000","0.492319"
"149.000000","0.465407"
"150.000000","0.438988"
"151.000000","0.413094"
"152.000000","0.387757"
"153.000000","0.363007"
"154.000000","0.338876"
"155.000000","0.315393"
"156.000000","0.292586"
"157.000000","0.270483"
"158.000000","0.249113"
"159.000000","0.228500"
"160.000000","0.208669"
"161.000000","0.189647"
"162.000000","0.171454"
"163.000000","0.154115"
"164.000000","0.137649"
"165.000000","0.122078"
"166.000000","0.107420"
"167.000000","0.093694"
"168.000000","0.080915"
"169.000000","0.069100"
"170.000000","0.058264"
"171.000000","0.048419"
"172.000000","0.039577"
"173.000000","0.031750"
"174.000000","0.024947"
"175.000000","0.019176"
"176.000000","0.014445"
"177.000000","0.010759"
"178.000000","0.008122"
"179.000000","0.006539"
"180.000000","0.006000"
